 Percent |	Source code & Disassembly of go for cpu-clock (19 samples, percent: local period)
-------------------------------------------------------------------------------------------------
         :
         :
         :
         : 3      Disassembly of section .text:
         :
         : 5      0000000000536418 <crypto/internal/fips140/sha256.block.abi0>:
         : 6      crypto/internal/fips140/sha256.block.abi0():
    0.00 :   537d14: srliw   t6,t1,0x7
    0.00 :   537d18: slliw   t2,t1,0x19
    0.00 :   537d1c: or      t2,t6,t2
    0.00 :   537d20: srliw   t6,t1,0x12
    0.00 :   537d24: slliw   s0,t1,0xe
    0.00 :   537d28: or      s0,t6,s0
    0.00 :   537d2c: srli    t1,t1,0x3
    0.00 :   537d30: xor     t1,t1,t2
    0.00 :   537d34: xor     t1,t1,s0
    0.00 :   537d38: add     t0,t0,t1
    0.00 :   537d3a: add     t0,t0,s5
    0.00 :   537d3c: sw      t0,60(s3)
    0.00 :   537d40: lwu     s0,124(s2)
    0.00 :   537d44: add     a0,a0,t0
    0.00 :   537d46: srliw   t6,a5,0x6
    0.00 :   537d4a: slliw   t1,a5,0x1a
    0.00 :   537d4e: or      t1,t6,t1
    0.00 :   537d52: add     a0,a0,s0
    0.00 :   537d54: srliw   t6,a5,0xb
    0.00 :   537d58: slliw   t2,a5,0x15
    0.00 :   537d5c: or      t2,t6,t2
    0.00 :   537d60: srliw   t6,a5,0x19
    0.00 :   537d64: slliw   s0,a5,0x7
    0.00 :   537d68: or      s0,t6,s0
    0.00 :   537d6c: xor     t1,t1,t2
    0.00 :   537d70: xor     t0,a7,a6
    0.00 :   537d74: xor     t1,t1,s0
    0.00 :   537d78: and     t0,t0,a5
    0.00 :   537d7c: add     a0,a0,t1
    0.00 :   537d7e: xor     t0,t0,a7
    0.00 :   537d82: add     t0,t0,a0
    0.00 :   537d84: srliw   t6,a1,0x2
    0.00 :   537d88: slliw   t1,a1,0x1e
    0.00 :   537d8c: or      t1,t6,t1
    0.00 :   537d90: srliw   t6,a1,0xd
    0.00 :   537d94: slliw   t2,a1,0x13
    0.00 :   537d98: or      t2,t6,t2
    0.00 :   537d9c: srliw   t6,a1,0x16
    0.00 :   537da0: slliw   s0,a1,0xa
    0.00 :   537da4: or      s0,t6,s0
    0.00 :   537da8: xor     t1,t1,t2
    0.00 :   537dac: xor     s1,a3,a2
    0.00 :   537db0: and     t2,a3,a2
    0.00 :   537db4: and     s1,s1,a1
    0.00 :   537db6: xor     t1,t1,s0
    0.00 :   537dba: xor     s1,s1,t2
    0.00 :   537dbe: add     t1,t1,s1
    0.00 :   537dc0: add     a4,a4,t0
    0.00 :   537dc2: add     a0,t0,t1
    0.00 :   537dc6: lwu     t0,56(s3)
    0.00 :   537dca: lwu     t1,4(s3)
    0.00 :   537dce: lwu     s1,36(s3)
    0.00 :   537dd2: lwu     s5,0(s3)
    0.00 :   537dd6: srliw   t6,t0,0x11
    0.00 :   537dda: slliw   t2,t0,0xf
    0.00 :   537dde: or      t2,t6,t2
    0.00 :   537de2: srliw   t6,t0,0x13
    0.00 :   537de6: slliw   s0,t0,0xd
    0.00 :   537dea: or      s0,t6,s0
    0.00 :   537dee: srli    t0,t0,0xa
    0.00 :   537df2: xor     t0,t0,t2
    0.00 :   537df6: xor     t0,t0,s0
    0.00 :   537dfa: add     t0,t0,s1
    0.00 :   537dfc: srliw   t6,t1,0x7
    0.00 :   537e00: slliw   t2,t1,0x19
    0.00 :   537e04: or      t2,t6,t2
    0.00 :   537e08: srliw   t6,t1,0x12
    0.00 :   537e0c: slliw   s0,t1,0xe
    0.00 :   537e10: or      s0,t6,s0
    0.00 :   537e14: srli    t1,t1,0x3
    0.00 :   537e18: xor     t1,t1,t2
    0.00 :   537e1c: xor     t1,t1,s0
    0.00 :   537e20: add     t0,t0,t1
    0.00 :   537e22: add     t0,t0,s5
    0.00 :   537e24: sw      t0,0(s3)
    0.00 :   537e28: lwu     s0,128(s2)
    0.00 :   537e2c: add     a7,a7,t0
    0.00 :   537e2e: srliw   t6,a4,0x6
    0.00 :   537e32: slliw   t1,a4,0x1a
    0.00 :   537e36: or      t1,t6,t1
    0.00 :   537e3a: add     a7,a7,s0
    0.00 :   537e3c: srliw   t6,a4,0xb
    0.00 :   537e40: slliw   t2,a4,0x15
    0.00 :   537e44: or      t2,t6,t2
    0.00 :   537e48: srliw   t6,a4,0x19
    0.00 :   537e4c: slliw   s0,a4,0x7
    0.00 :   537e50: or      s0,t6,s0
    0.00 :   537e54: xor     t1,t1,t2
    0.00 :   537e58: xor     t0,a6,a5
    0.00 :   537e5c: xor     t1,t1,s0
    0.00 :   537e60: and     t0,t0,a4
    0.00 :   537e64: add     a7,a7,t1
    0.00 :   537e66: xor     t0,t0,a6
    0.00 :   537e6a: add     t0,t0,a7
    0.00 :   537e6c: srliw   t6,a0,0x2
    0.00 :   537e70: slliw   t1,a0,0x1e
    0.00 :   537e74: or      t1,t6,t1
    0.00 :   537e78: srliw   t6,a0,0xd
    0.00 :   537e7c: slliw   t2,a0,0x13
    0.00 :   537e80: or      t2,t6,t2
    0.00 :   537e84: srliw   t6,a0,0x16
    0.00 :   537e88: slliw   s0,a0,0xa
    0.00 :   537e8c: or      s0,t6,s0
    0.00 :   537e90: xor     t1,t1,t2
    0.00 :   537e94: xor     s1,a2,a1
    0.00 :   537e98: and     t2,a2,a1
    0.00 :   537e9c: and     s1,s1,a0
    0.00 :   537e9e: xor     t1,t1,s0
    0.00 :   537ea2: xor     s1,s1,t2
    0.00 :   537ea6: add     t1,t1,s1
    0.00 :   537ea8: add     a3,a3,t0
    0.00 :   537eaa: add     a7,t0,t1
    0.00 :   537eae: lwu     t0,60(s3)
    0.00 :   537eb2: lwu     t1,8(s3)
    0.00 :   537eb6: lwu     s1,40(s3)
    0.00 :   537eba: lwu     s5,4(s3)
    0.00 :   537ebe: srliw   t6,t0,0x11
    0.00 :   537ec2: slliw   t2,t0,0xf
    0.00 :   537ec6: or      t2,t6,t2
    0.00 :   537eca: srliw   t6,t0,0x13
    0.00 :   537ece: slliw   s0,t0,0xd
    0.00 :   537ed2: or      s0,t6,s0
    0.00 :   537ed6: srli    t0,t0,0xa
    0.00 :   537eda: xor     t0,t0,t2
    0.00 :   537ede: xor     t0,t0,s0
    0.00 :   537ee2: add     t0,t0,s1
    0.00 :   537ee4: srliw   t6,t1,0x7
    0.00 :   537ee8: slliw   t2,t1,0x19
    0.00 :   537eec: or      t2,t6,t2
    0.00 :   537ef0: srliw   t6,t1,0x12
    0.00 :   537ef4: slliw   s0,t1,0xe
    0.00 :   537ef8: or      s0,t6,s0
    0.00 :   537efc: srli    t1,t1,0x3
    0.00 :   537f00: xor     t1,t1,t2
    0.00 :   537f04: xor     t1,t1,s0
    0.00 :   537f08: add     t0,t0,t1
    0.00 :   537f0a: add     t0,t0,s5
    0.00 :   537f0c: sw      t0,4(s3)
    0.00 :   537f10: lwu     s0,132(s2)
    0.00 :   537f14: add     a6,a6,t0
    0.00 :   537f16: srliw   t6,a3,0x6
    0.00 :   537f1a: slliw   t1,a3,0x1a
    0.00 :   537f1e: or      t1,t6,t1
    0.00 :   537f22: add     a6,a6,s0
    0.00 :   537f24: srliw   t6,a3,0xb
    0.00 :   537f28: slliw   t2,a3,0x15
    0.00 :   537f2c: or      t2,t6,t2
    0.00 :   537f30: srliw   t6,a3,0x19
    0.00 :   537f34: slliw   s0,a3,0x7
    0.00 :   537f38: or      s0,t6,s0
    0.00 :   537f3c: xor     t1,t1,t2
    0.00 :   537f40: xor     t0,a5,a4
    0.00 :   537f44: xor     t1,t1,s0
    0.00 :   537f48: and     t0,t0,a3
    0.00 :   537f4c: add     a6,a6,t1
    0.00 :   537f4e: xor     t0,t0,a5
    0.00 :   537f52: add     t0,t0,a6
    0.00 :   537f54: srliw   t6,a7,0x2
    0.00 :   537f58: slliw   t1,a7,0x1e
    0.00 :   537f5c: or      t1,t6,t1
    0.00 :   537f60: srliw   t6,a7,0xd
    0.00 :   537f64: slliw   t2,a7,0x13
    0.00 :   537f68: or      t2,t6,t2
    0.00 :   537f6c: srliw   t6,a7,0x16
    0.00 :   537f70: slliw   s0,a7,0xa
    0.00 :   537f74: or      s0,t6,s0
    0.00 :   537f78: xor     t1,t1,t2
    0.00 :   537f7c: xor     s1,a1,a0
    0.00 :   537f80: and     t2,a1,a0
    0.00 :   537f84: and     s1,s1,a7
    0.00 :   537f88: xor     t1,t1,s0
    0.00 :   537f8c: xor     s1,s1,t2
    0.00 :   537f90: add     t1,t1,s1
    0.00 :   537f92: add     a2,a2,t0
    5.26 :   537f94: add     a6,t0,t1
    0.00 :   537f98: lwu     t0,0(s3)
    0.00 :   537f9c: lwu     t1,12(s3)
    0.00 :   537fa0: lwu     s1,44(s3)
    0.00 :   537fa4: lwu     s5,8(s3)
    0.00 :   537fa8: srliw   t6,t0,0x11
    0.00 :   537fac: slliw   t2,t0,0xf
    0.00 :   537fb0: or      t2,t6,t2
    0.00 :   537fb4: srliw   t6,t0,0x13
    0.00 :   537fb8: slliw   s0,t0,0xd
    0.00 :   537fbc: or      s0,t6,s0
    0.00 :   537fc0: srli    t0,t0,0xa
    0.00 :   537fc4: xor     t0,t0,t2
    0.00 :   537fc8: xor     t0,t0,s0
    0.00 :   537fcc: add     t0,t0,s1
    0.00 :   537fce: srliw   t6,t1,0x7
    0.00 :   537fd2: slliw   t2,t1,0x19
    0.00 :   537fd6: or      t2,t6,t2
    0.00 :   537fda: srliw   t6,t1,0x12
    0.00 :   537fde: slliw   s0,t1,0xe
    0.00 :   537fe2: or      s0,t6,s0
    0.00 :   537fe6: srli    t1,t1,0x3
    0.00 :   537fea: xor     t1,t1,t2
    0.00 :   537fee: xor     t1,t1,s0
    0.00 :   537ff2: add     t0,t0,t1
    0.00 :   537ff4: add     t0,t0,s5
    0.00 :   537ff6: sw      t0,8(s3)
    0.00 :   537ffa: lwu     s0,136(s2)
    0.00 :   537ffe: add     a5,a5,t0
    0.00 :   538000: srliw   t6,a2,0x6
    0.00 :   538004: slliw   t1,a2,0x1a
    0.00 :   538008: or      t1,t6,t1
    0.00 :   53800c: add     a5,a5,s0
    0.00 :   53800e: srliw   t6,a2,0xb
    0.00 :   538012: slliw   t2,a2,0x15
    0.00 :   538016: or      t2,t6,t2
    0.00 :   53801a: srliw   t6,a2,0x19
    0.00 :   53801e: slliw   s0,a2,0x7
    0.00 :   538022: or      s0,t6,s0
    0.00 :   538026: xor     t1,t1,t2
    0.00 :   53802a: xor     t0,a4,a3
    0.00 :   53802e: xor     t1,t1,s0
    0.00 :   538032: and     t0,t0,a2
    0.00 :   538036: add     a5,a5,t1
    0.00 :   538038: xor     t0,t0,a4
    0.00 :   53803c: add     t0,t0,a5
    0.00 :   53803e: srliw   t6,a6,0x2
    0.00 :   538042: slliw   t1,a6,0x1e
    0.00 :   538046: or      t1,t6,t1
    0.00 :   53804a: srliw   t6,a6,0xd
    0.00 :   53804e: slliw   t2,a6,0x13
    0.00 :   538052: or      t2,t6,t2
    0.00 :   538056: srliw   t6,a6,0x16
    0.00 :   53805a: slliw   s0,a6,0xa
    0.00 :   53805e: or      s0,t6,s0
    0.00 :   538062: xor     t1,t1,t2
    0.00 :   538066: xor     s1,a0,a7
    0.00 :   53806a: and     t2,a0,a7
    0.00 :   53806e: and     s1,s1,a6
    0.00 :   538072: xor     t1,t1,s0
    0.00 :   538076: xor     s1,s1,t2
    0.00 :   53807a: add     t1,t1,s1
    0.00 :   53807c: add     a1,a1,t0
    0.00 :   53807e: add     a5,t0,t1
    0.00 :   538082: lwu     t0,4(s3)
    0.00 :   538086: lwu     t1,16(s3)
    0.00 :   53808a: lwu     s1,48(s3)
    0.00 :   53808e: lwu     s5,12(s3)
    0.00 :   538092: srliw   t6,t0,0x11
    0.00 :   538096: slliw   t2,t0,0xf
    0.00 :   53809a: or      t2,t6,t2
    0.00 :   53809e: srliw   t6,t0,0x13
    0.00 :   5380a2: slliw   s0,t0,0xd
    0.00 :   5380a6: or      s0,t6,s0
    0.00 :   5380aa: srli    t0,t0,0xa
    0.00 :   5380ae: xor     t0,t0,t2
    0.00 :   5380b2: xor     t0,t0,s0
    0.00 :   5380b6: add     t0,t0,s1
    0.00 :   5380b8: srliw   t6,t1,0x7
    0.00 :   5380bc: slliw   t2,t1,0x19
    0.00 :   5380c0: or      t2,t6,t2
    0.00 :   5380c4: srliw   t6,t1,0x12
    0.00 :   5380c8: slliw   s0,t1,0xe
    0.00 :   5380cc: or      s0,t6,s0
    0.00 :   5380d0: srli    t1,t1,0x3
    0.00 :   5380d4: xor     t1,t1,t2
    0.00 :   5380d8: xor     t1,t1,s0
    0.00 :   5380dc: add     t0,t0,t1
    0.00 :   5380de: add     t0,t0,s5
    0.00 :   5380e0: sw      t0,12(s3)
    0.00 :   5380e4: lwu     s0,140(s2)
    0.00 :   5380e8: add     a4,a4,t0
    0.00 :   5380ea: srliw   t6,a1,0x6
    0.00 :   5380ee: slliw   t1,a1,0x1a
    0.00 :   5380f2: or      t1,t6,t1
    0.00 :   5380f6: add     a4,a4,s0
    0.00 :   5380f8: srliw   t6,a1,0xb
    0.00 :   5380fc: slliw   t2,a1,0x15
    0.00 :   538100: or      t2,t6,t2
    0.00 :   538104: srliw   t6,a1,0x19
    0.00 :   538108: slliw   s0,a1,0x7
    0.00 :   53810c: or      s0,t6,s0
    0.00 :   538110: xor     t1,t1,t2
    0.00 :   538114: xor     t0,a3,a2
    0.00 :   538118: xor     t1,t1,s0
    0.00 :   53811c: and     t0,t0,a1
    0.00 :   538120: add     a4,a4,t1
    0.00 :   538122: xor     t0,t0,a3
    0.00 :   538126: add     t0,t0,a4
    0.00 :   538128: srliw   t6,a5,0x2
    0.00 :   53812c: slliw   t1,a5,0x1e
    0.00 :   538130: or      t1,t6,t1
    0.00 :   538134: srliw   t6,a5,0xd
    0.00 :   538138: slliw   t2,a5,0x13
    0.00 :   53813c: or      t2,t6,t2
    0.00 :   538140: srliw   t6,a5,0x16
    0.00 :   538144: slliw   s0,a5,0xa
    0.00 :   538148: or      s0,t6,s0
    0.00 :   53814c: xor     t1,t1,t2
    0.00 :   538150: xor     s1,a7,a6
    0.00 :   538154: and     t2,a7,a6
    0.00 :   538158: and     s1,s1,a5
    0.00 :   53815a: xor     t1,t1,s0
    0.00 :   53815e: xor     s1,s1,t2
    0.00 :   538162: add     t1,t1,s1
    0.00 :   538164: add     a0,a0,t0
    0.00 :   538166: add     a4,t0,t1
    0.00 :   53816a: lwu     t0,8(s3)
    0.00 :   53816e: lwu     t1,20(s3)
    0.00 :   538172: lwu     s1,52(s3)
    0.00 :   538176: lwu     s5,16(s3)
    0.00 :   53817a: srliw   t6,t0,0x11
    0.00 :   53817e: slliw   t2,t0,0xf
    0.00 :   538182: or      t2,t6,t2
    0.00 :   538186: srliw   t6,t0,0x13
    0.00 :   53818a: slliw   s0,t0,0xd
    0.00 :   53818e: or      s0,t6,s0
    0.00 :   538192: srli    t0,t0,0xa
    0.00 :   538196: xor     t0,t0,t2
    0.00 :   53819a: xor     t0,t0,s0
    0.00 :   53819e: add     t0,t0,s1
    0.00 :   5381a0: srliw   t6,t1,0x7
    0.00 :   5381a4: slliw   t2,t1,0x19
    0.00 :   5381a8: or      t2,t6,t2
    0.00 :   5381ac: srliw   t6,t1,0x12
    0.00 :   5381b0: slliw   s0,t1,0xe
    0.00 :   5381b4: or      s0,t6,s0
    0.00 :   5381b8: srli    t1,t1,0x3
    0.00 :   5381bc: xor     t1,t1,t2
    0.00 :   5381c0: xor     t1,t1,s0
    0.00 :   5381c4: add     t0,t0,t1
    0.00 :   5381c6: add     t0,t0,s5
    0.00 :   5381c8: sw      t0,16(s3)
    0.00 :   5381cc: lwu     s0,144(s2)
    0.00 :   5381d0: add     a3,a3,t0
    0.00 :   5381d2: srliw   t6,a0,0x6
    0.00 :   5381d6: slliw   t1,a0,0x1a
    0.00 :   5381da: or      t1,t6,t1
    0.00 :   5381de: add     a3,a3,s0
    0.00 :   5381e0: srliw   t6,a0,0xb
    0.00 :   5381e4: slliw   t2,a0,0x15
    0.00 :   5381e8: or      t2,t6,t2
    0.00 :   5381ec: srliw   t6,a0,0x19
    0.00 :   5381f0: slliw   s0,a0,0x7
    0.00 :   5381f4: or      s0,t6,s0
    0.00 :   5381f8: xor     t1,t1,t2
    0.00 :   5381fc: xor     t0,a2,a1
    0.00 :   538200: xor     t1,t1,s0
    0.00 :   538204: and     t0,t0,a0
    0.00 :   538208: add     a3,a3,t1
    0.00 :   53820a: xor     t0,t0,a2
    0.00 :   53820e: add     t0,t0,a3
    0.00 :   538210: srliw   t6,a4,0x2
    0.00 :   538214: slliw   t1,a4,0x1e
    0.00 :   538218: or      t1,t6,t1
    0.00 :   53821c: srliw   t6,a4,0xd
    0.00 :   538220: slliw   t2,a4,0x13
    0.00 :   538224: or      t2,t6,t2
    0.00 :   538228: srliw   t6,a4,0x16
    0.00 :   53822c: slliw   s0,a4,0xa
    0.00 :   538230: or      s0,t6,s0
    0.00 :   538234: xor     t1,t1,t2
    0.00 :   538238: xor     s1,a6,a5
    0.00 :   53823c: and     t2,a6,a5
    0.00 :   538240: and     s1,s1,a4
    0.00 :   538242: xor     t1,t1,s0
    0.00 :   538246: xor     s1,s1,t2
    0.00 :   53824a: add     t1,t1,s1
    0.00 :   53824c: add     a7,a7,t0
    0.00 :   53824e: add     a3,t0,t1
    0.00 :   538252: lwu     t0,12(s3)
    0.00 :   538256: lwu     t1,24(s3)
    0.00 :   53825a: lwu     s1,56(s3)
    0.00 :   53825e: lwu     s5,20(s3)
    0.00 :   538262: srliw   t6,t0,0x11
    0.00 :   538266: slliw   t2,t0,0xf
    0.00 :   53826a: or      t2,t6,t2
    0.00 :   53826e: srliw   t6,t0,0x13
    0.00 :   538272: slliw   s0,t0,0xd
    0.00 :   538276: or      s0,t6,s0
    0.00 :   53827a: srli    t0,t0,0xa
    0.00 :   53827e: xor     t0,t0,t2
    0.00 :   538282: xor     t0,t0,s0
    0.00 :   538286: add     t0,t0,s1
    0.00 :   538288: srliw   t6,t1,0x7
    0.00 :   53828c: slliw   t2,t1,0x19
    0.00 :   538290: or      t2,t6,t2
    0.00 :   538294: srliw   t6,t1,0x12
    0.00 :   538298: slliw   s0,t1,0xe
    0.00 :   53829c: or      s0,t6,s0
    0.00 :   5382a0: srli    t1,t1,0x3
    0.00 :   5382a4: xor     t1,t1,t2
    0.00 :   5382a8: xor     t1,t1,s0
    0.00 :   5382ac: add     t0,t0,t1
    0.00 :   5382ae: add     t0,t0,s5
    0.00 :   5382b0: sw      t0,20(s3)
    0.00 :   5382b4: lwu     s0,148(s2)
    0.00 :   5382b8: add     a2,a2,t0
    0.00 :   5382ba: srliw   t6,a7,0x6
    0.00 :   5382be: slliw   t1,a7,0x1a
    0.00 :   5382c2: or      t1,t6,t1
    0.00 :   5382c6: add     a2,a2,s0
    0.00 :   5382c8: srliw   t6,a7,0xb
    0.00 :   5382cc: slliw   t2,a7,0x15
    0.00 :   5382d0: or      t2,t6,t2
    0.00 :   5382d4: srliw   t6,a7,0x19
    0.00 :   5382d8: slliw   s0,a7,0x7
    0.00 :   5382dc: or      s0,t6,s0
    0.00 :   5382e0: xor     t1,t1,t2
    0.00 :   5382e4: xor     t0,a1,a0
    0.00 :   5382e8: xor     t1,t1,s0
    0.00 :   5382ec: and     t0,t0,a7
    0.00 :   5382f0: add     a2,a2,t1
    0.00 :   5382f2: xor     t0,t0,a1
    0.00 :   5382f6: add     t0,t0,a2
    0.00 :   5382f8: srliw   t6,a3,0x2
    0.00 :   5382fc: slliw   t1,a3,0x1e
    0.00 :   538300: or      t1,t6,t1
    0.00 :   538304: srliw   t6,a3,0xd
    0.00 :   538308: slliw   t2,a3,0x13
    0.00 :   53830c: or      t2,t6,t2
    0.00 :   538310: srliw   t6,a3,0x16
    5.26 :   538314: slliw   s0,a3,0xa
    0.00 :   538318: or      s0,t6,s0
    0.00 :   53831c: xor     t1,t1,t2
    0.00 :   538320: xor     s1,a5,a4
    0.00 :   538324: and     t2,a5,a4
    0.00 :   538328: and     s1,s1,a3
    0.00 :   53832a: xor     t1,t1,s0
    0.00 :   53832e: xor     s1,s1,t2
    0.00 :   538332: add     t1,t1,s1
    0.00 :   538334: add     a6,a6,t0
    0.00 :   538336: add     a2,t0,t1
    0.00 :   53833a: lwu     t0,16(s3)
    0.00 :   53833e: lwu     t1,28(s3)
    0.00 :   538342: lwu     s1,60(s3)
    0.00 :   538346: lwu     s5,24(s3)
    0.00 :   53834a: srliw   t6,t0,0x11
    0.00 :   53834e: slliw   t2,t0,0xf
    0.00 :   538352: or      t2,t6,t2
    0.00 :   538356: srliw   t6,t0,0x13
    0.00 :   53835a: slliw   s0,t0,0xd
    0.00 :   53835e: or      s0,t6,s0
    0.00 :   538362: srli    t0,t0,0xa
    0.00 :   538366: xor     t0,t0,t2
    0.00 :   53836a: xor     t0,t0,s0
    0.00 :   53836e: add     t0,t0,s1
    0.00 :   538370: srliw   t6,t1,0x7
    0.00 :   538374: slliw   t2,t1,0x19
    0.00 :   538378: or      t2,t6,t2
    0.00 :   53837c: srliw   t6,t1,0x12
    0.00 :   538380: slliw   s0,t1,0xe
    0.00 :   538384: or      s0,t6,s0
    0.00 :   538388: srli    t1,t1,0x3
    0.00 :   53838c: xor     t1,t1,t2
    0.00 :   538390: xor     t1,t1,s0
    0.00 :   538394: add     t0,t0,t1
    0.00 :   538396: add     t0,t0,s5
    0.00 :   538398: sw      t0,24(s3)
    0.00 :   53839c: lwu     s0,152(s2)
    0.00 :   5383a0: add     a1,a1,t0
    0.00 :   5383a2: srliw   t6,a6,0x6
    0.00 :   5383a6: slliw   t1,a6,0x1a
    0.00 :   5383aa: or      t1,t6,t1
    0.00 :   5383ae: add     a1,a1,s0
    0.00 :   5383b0: srliw   t6,a6,0xb
    0.00 :   5383b4: slliw   t2,a6,0x15
    0.00 :   5383b8: or      t2,t6,t2
    0.00 :   5383bc: srliw   t6,a6,0x19
    0.00 :   5383c0: slliw   s0,a6,0x7
    0.00 :   5383c4: or      s0,t6,s0
    0.00 :   5383c8: xor     t1,t1,t2
    0.00 :   5383cc: xor     t0,a0,a7
    0.00 :   5383d0: xor     t1,t1,s0
    0.00 :   5383d4: and     t0,t0,a6
    0.00 :   5383d8: add     a1,a1,t1
    0.00 :   5383da: xor     t0,t0,a0
    0.00 :   5383de: add     t0,t0,a1
    0.00 :   5383e0: srliw   t6,a2,0x2
    0.00 :   5383e4: slliw   t1,a2,0x1e
    0.00 :   5383e8: or      t1,t6,t1
    0.00 :   5383ec: srliw   t6,a2,0xd
    0.00 :   5383f0: slliw   t2,a2,0x13
    0.00 :   5383f4: or      t2,t6,t2
    0.00 :   5383f8: srliw   t6,a2,0x16
    0.00 :   5383fc: slliw   s0,a2,0xa
    0.00 :   538400: or      s0,t6,s0
    0.00 :   538404: xor     t1,t1,t2
    0.00 :   538408: xor     s1,a4,a3
    0.00 :   53840c: and     t2,a4,a3
    0.00 :   538410: and     s1,s1,a2
    0.00 :   538412: xor     t1,t1,s0
    0.00 :   538416: xor     s1,s1,t2
    0.00 :   53841a: add     t1,t1,s1
    0.00 :   53841c: add     a5,a5,t0
    0.00 :   53841e: add     a1,t0,t1
    0.00 :   538422: lwu     t0,20(s3)
    0.00 :   538426: lwu     t1,32(s3)
    0.00 :   53842a: lwu     s1,0(s3)
    0.00 :   53842e: lwu     s5,28(s3)
    0.00 :   538432: srliw   t6,t0,0x11
    0.00 :   538436: slliw   t2,t0,0xf
    0.00 :   53843a: or      t2,t6,t2
    0.00 :   53843e: srliw   t6,t0,0x13
    0.00 :   538442: slliw   s0,t0,0xd
    0.00 :   538446: or      s0,t6,s0
    0.00 :   53844a: srli    t0,t0,0xa
    0.00 :   53844e: xor     t0,t0,t2
    0.00 :   538452: xor     t0,t0,s0
    0.00 :   538456: add     t0,t0,s1
    0.00 :   538458: srliw   t6,t1,0x7
    0.00 :   53845c: slliw   t2,t1,0x19
    0.00 :   538460: or      t2,t6,t2
    0.00 :   538464: srliw   t6,t1,0x12
    0.00 :   538468: slliw   s0,t1,0xe
    0.00 :   53846c: or      s0,t6,s0
    0.00 :   538470: srli    t1,t1,0x3
    0.00 :   538474: xor     t1,t1,t2
    0.00 :   538478: xor     t1,t1,s0
    0.00 :   53847c: add     t0,t0,t1
    0.00 :   53847e: add     t0,t0,s5
    0.00 :   538480: sw      t0,28(s3)
    0.00 :   538484: lwu     s0,156(s2)
    0.00 :   538488: add     a0,a0,t0
    0.00 :   53848a: srliw   t6,a5,0x6
    0.00 :   53848e: slliw   t1,a5,0x1a
    0.00 :   538492: or      t1,t6,t1
    0.00 :   538496: add     a0,a0,s0
    0.00 :   538498: srliw   t6,a5,0xb
    0.00 :   53849c: slliw   t2,a5,0x15
    0.00 :   5384a0: or      t2,t6,t2
    0.00 :   5384a4: srliw   t6,a5,0x19
    0.00 :   5384a8: slliw   s0,a5,0x7
    0.00 :   5384ac: or      s0,t6,s0
    0.00 :   5384b0: xor     t1,t1,t2
    0.00 :   5384b4: xor     t0,a7,a6
    0.00 :   5384b8: xor     t1,t1,s0
    0.00 :   5384bc: and     t0,t0,a5
    0.00 :   5384c0: add     a0,a0,t1
    0.00 :   5384c2: xor     t0,t0,a7
    0.00 :   5384c6: add     t0,t0,a0
    0.00 :   5384c8: srliw   t6,a1,0x2
    0.00 :   5384cc: slliw   t1,a1,0x1e
    0.00 :   5384d0: or      t1,t6,t1
    0.00 :   5384d4: srliw   t6,a1,0xd
    0.00 :   5384d8: slliw   t2,a1,0x13
    0.00 :   5384dc: or      t2,t6,t2
    0.00 :   5384e0: srliw   t6,a1,0x16
    0.00 :   5384e4: slliw   s0,a1,0xa
    0.00 :   5384e8: or      s0,t6,s0
    0.00 :   5384ec: xor     t1,t1,t2
    0.00 :   5384f0: xor     s1,a3,a2
    0.00 :   5384f4: and     t2,a3,a2
    0.00 :   5384f8: and     s1,s1,a1
    0.00 :   5384fa: xor     t1,t1,s0
    0.00 :   5384fe: xor     s1,s1,t2
    0.00 :   538502: add     t1,t1,s1
    0.00 :   538504: add     a4,a4,t0
    0.00 :   538506: add     a0,t0,t1
    0.00 :   53850a: lwu     t0,24(s3)
    0.00 :   53850e: lwu     t1,36(s3)
    0.00 :   538512: lwu     s1,4(s3)
    0.00 :   538516: lwu     s5,32(s3)
    0.00 :   53851a: srliw   t6,t0,0x11
    0.00 :   53851e: slliw   t2,t0,0xf
    0.00 :   538522: or      t2,t6,t2
    0.00 :   538526: srliw   t6,t0,0x13
    0.00 :   53852a: slliw   s0,t0,0xd
    0.00 :   53852e: or      s0,t6,s0
    0.00 :   538532: srli    t0,t0,0xa
    0.00 :   538536: xor     t0,t0,t2
    0.00 :   53853a: xor     t0,t0,s0
    0.00 :   53853e: add     t0,t0,s1
    0.00 :   538540: srliw   t6,t1,0x7
    0.00 :   538544: slliw   t2,t1,0x19
    0.00 :   538548: or      t2,t6,t2
    0.00 :   53854c: srliw   t6,t1,0x12
    0.00 :   538550: slliw   s0,t1,0xe
    0.00 :   538554: or      s0,t6,s0
    0.00 :   538558: srli    t1,t1,0x3
    0.00 :   53855c: xor     t1,t1,t2
    0.00 :   538560: xor     t1,t1,s0
    0.00 :   538564: add     t0,t0,t1
    0.00 :   538566: add     t0,t0,s5
    0.00 :   538568: sw      t0,32(s3)
    0.00 :   53856c: lwu     s0,160(s2)
    0.00 :   538570: add     a7,a7,t0
    0.00 :   538572: srliw   t6,a4,0x6
    0.00 :   538576: slliw   t1,a4,0x1a
    0.00 :   53857a: or      t1,t6,t1
    0.00 :   53857e: add     a7,a7,s0
    0.00 :   538580: srliw   t6,a4,0xb
    0.00 :   538584: slliw   t2,a4,0x15
    0.00 :   538588: or      t2,t6,t2
    0.00 :   53858c: srliw   t6,a4,0x19
